experiment,param_value,accuracy,macro_f1,prediction_histogram,per_class_recall
C_sensitivity,0.03125,0.493506,0.465334,"{""SUPPORTS"": 52, ""REFUTES"": 40, ""NOT_ENOUGH_INFO"": 48, ""DISPUTED"": 14}","{""SUPPORTS"": 0.5, ""REFUTES"": 0.5555555555555556, ""NOT_ENOUGH_INFO"": 0.5121951219512195, ""DISPUTED"": 0.3333333333333333}"
C_sensitivity,0.0625,0.493506,0.465214,"{""SUPPORTS"": 51, ""REFUTES"": 40, ""NOT_ENOUGH_INFO"": 49, ""DISPUTED"": 14}","{""SUPPORTS"": 0.5, ""REFUTES"": 0.5555555555555556, ""NOT_ENOUGH_INFO"": 0.5121951219512195, ""DISPUTED"": 0.3333333333333333}"
C_sensitivity,0.125,0.519481,0.484141,"{""SUPPORTS"": 56, ""REFUTES"": 40, ""NOT_ENOUGH_INFO"": 46, ""DISPUTED"": 12}","{""SUPPORTS"": 0.5735294117647058, ""REFUTES"": 0.5555555555555556, ""NOT_ENOUGH_INFO"": 0.4878048780487805, ""DISPUTED"": 0.3333333333333333}"
C_sensitivity,0.25,0.493506,0.454394,"{""SUPPORTS"": 58, ""REFUTES"": 38, ""NOT_ENOUGH_INFO"": 44, ""DISPUTED"": 14}","{""SUPPORTS"": 0.5735294117647058, ""REFUTES"": 0.48148148148148145, ""NOT_ENOUGH_INFO"": 0.43902439024390244, ""DISPUTED"": 0.3333333333333333}"
C_sensitivity,0.5,0.474026,0.426285,"{""SUPPORTS"": 64, ""REFUTES"": 35, ""NOT_ENOUGH_INFO"": 41, ""DISPUTED"": 14}","{""SUPPORTS"": 0.5735294117647058, ""REFUTES"": 0.4444444444444444, ""NOT_ENOUGH_INFO"": 0.4146341463414634, ""DISPUTED"": 0.2777777777777778}"
C_sensitivity,1.0,0.467532,0.418426,"{""SUPPORTS"": 64, ""REFUTES"": 34, ""NOT_ENOUGH_INFO"": 42, ""DISPUTED"": 14}","{""SUPPORTS"": 0.5735294117647058, ""REFUTES"": 0.4074074074074074, ""NOT_ENOUGH_INFO"": 0.4146341463414634, ""DISPUTED"": 0.2777777777777778}"
context_depth_sensitivity,5,0.448052,0.414869,"{""SUPPORTS"": 63, ""REFUTES"": 37, ""NOT_ENOUGH_INFO"": 42, ""DISPUTED"": 12}","{""SUPPORTS"": 0.5147058823529411, ""REFUTES"": 0.48148148148148145, ""NOT_ENOUGH_INFO"": 0.3902439024390244, ""DISPUTED"": 0.2777777777777778}"
context_depth_sensitivity,10,0.474026,0.438333,"{""SUPPORTS"": 59, ""REFUTES"": 35, ""NOT_ENOUGH_INFO"": 49, ""DISPUTED"": 11}","{""SUPPORTS"": 0.5294117647058824, ""REFUTES"": 0.48148148148148145, ""NOT_ENOUGH_INFO"": 0.4634146341463415, ""DISPUTED"": 0.2777777777777778}"
context_depth_sensitivity,20,0.519481,0.484141,"{""SUPPORTS"": 56, ""REFUTES"": 40, ""NOT_ENOUGH_INFO"": 46, ""DISPUTED"": 12}","{""SUPPORTS"": 0.5735294117647058, ""REFUTES"": 0.5555555555555556, ""NOT_ENOUGH_INFO"": 0.4878048780487805, ""DISPUTED"": 0.3333333333333333}"
context_depth_sensitivity,32,0.461039,0.416278,"{""SUPPORTS"": 54, ""REFUTES"": 38, ""NOT_ENOUGH_INFO"": 48, ""DISPUTED"": 14}","{""SUPPORTS"": 0.5, ""REFUTES"": 0.5185185185185185, ""NOT_ENOUGH_INFO"": 0.4634146341463415, ""DISPUTED"": 0.2222222222222222}"
context_depth_sensitivity,64,0.454545,0.408891,"{""SUPPORTS"": 58, ""REFUTES"": 37, ""NOT_ENOUGH_INFO"": 48, ""DISPUTED"": 11}","{""SUPPORTS"": 0.5294117647058824, ""REFUTES"": 0.48148148148148145, ""NOT_ENOUGH_INFO"": 0.4146341463414634, ""DISPUTED"": 0.2222222222222222}"
